n,t,M,AD_M,RE_M,Jx,AD_Jx,RE_Jx,Jy,AD_Jy,RE_Jy,E_reduced,AD_E_reduced,RE_E_reduced,E_longwave_quadratic,AD_E_longwave_quadratic,RE_E_longwave_quadratic,R_lw,Z_lw,H_defect,res_w,res_v,tail_ratio,boundary_max
0,0.0,25.13274122871835,0.0,0.0,-10.053096491487338,0.0,0.0,5.02654824574367,0.0,0.0,17.303918915220862,0.0,0.0,17.303918915220866,0.0,0.0,4.023455934711499e-16,0.0,1.2136578155660472e-13,1.2121546604953945e-16,1.3082640463252185e-16,6.508540350556404e-24,2.866794996873118e-10
20,0.02,25.132741228718515,1.6697754290362354e-13,6.6438253346126115e-15,-10.053096491487407,6.927791673660977e-14,6.89120180983755e-15,5.026548245743717,4.707345624410664e-14,9.364966562086926e-15,17.30391891690804,1.6871766206350003e-09,9.750257319750326e-11,17.303918916908042,1.6871766206350003e-09,9.750257319750324e-11,2.6828774328044118e-16,0.0,4.654057037974405e-13,1.1368492908193995e-16,1.3034524027919492e-16,6.509469821825743e-24,2.926229980876455e-10
40,0.04,25.132741228718693,3.446132268436486e-13,1.3711724626753689e-14,-10.053096491487473,1.3500311979441904e-13,1.3429008655068047e-14,5.0265482457437685,9.85878045867139e-14,1.9613420535691485e-14,17.303918921946224,6.725361600956603e-09,3.8866118327916906e-10,17.303918921946227,6.725361600956603e-09,3.8866118327916896e-10,2.684596928099851e-16,0.0,2.4592480024369316e-13,1.2409814475414169e-16,1.4113956893179313e-16,6.5096131699425165e-24,2.982540521859647e-10
60,0.06,25.132741228718842,4.938272013532696e-13,1.9648760032152193e-14,-10.053096491487533,1.9539925233402755e-13,1.9436723053387964e-14,5.026548245743818,1.4832579608992091e-13,2.9508479544688993e-14,17.303918930267308,1.5046445867028524e-08,8.695397811759987e-10,17.303918930267315,1.5046449419742203e-08,8.695399864886619e-10,1.3437298276863347e-16,0.0,1.2849745660988001e-13,1.2365822157422602e-16,1.4097567554894818e-16,6.508689109532703e-24,3.0275066936385623e-10
80,0.08,25.132741228719013,6.643574579356937e-13,2.6433943352607626e-14,-10.053096491487594,2.5579538487363607e-13,2.544443745170788e-14,5.026548245743869,1.9895196601282805e-13,3.9580236035990026e-14,17.303918941760315,2.653945330166607e-08,1.5337250152230652e-09,17.303918941760323,2.653945685437975e-08,1.5337252205357283e-09,2.6914610161415457e-16,0.0,4.636835796059381e-13,1.3031870611046675e-16,1.330110742197258e-16,6.5112446866274385e-24,3.1100093766835545e-10
100,0.1,25.132741228719187,8.384404281969182e-13,3.336048465890588e-14,-10.053096491487656,3.1796787425264483e-13,3.162884933233132e-14,5.02654824574392,2.504663143554353e-13,4.9828690009594584e-14,17.303918956274728,4.1053866084439505e-08,2.3725184038124054e-09,17.30391895627473,4.1053866084439505e-08,2.372518403812405e-09,2.6965946684972606e-16,0.0,4.594724751878475e-13,1.3764788008321927e-16,1.4283845537533292e-16,6.528692716155242e-24,3.218576287195046e-10
120,0.12,25.13274122871935,1.0018652574217413e-12,3.986295200767567e-14,-10.053096491487718,3.801403636316536e-13,3.781326121295476e-14,5.026548245743971,3.0109248427834245e-13,5.990044650089562e-14,17.30391897362513,5.840426808845223e-08,3.375204679044012e-09,17.303918973625134,5.840426808845223e-08,3.3752046790440115e-09,4.0542789287153135e-16,0.0,4.630025629216317e-13,1.581948419601973e-16,1.5130999019081043e-16,6.638760120470282e-24,3.298199780076559e-10
140,0.14,25.132741228719528,1.1795009413617663e-12,4.693085129981675e-14,-10.053096491487779,4.405364961712621e-13,4.382097561127468e-14,5.026548245744025,3.552713678800501e-13,7.067899292141075e-14,17.303918993596646,7.837578408498302e-08,4.529366120413416e-09,17.303918993596646,7.837578053226935e-08,4.5293659151007516e-09,2.710225336416776e-16,0.0,1.169734687912539e-13,1.2985147076597108e-16,1.3063678435233351e-16,7.303730605210689e-24,3.3689862375735973e-10
160,0.16,25.132741228719702,1.3535839116229909e-12,5.3857392606115003e-14,-10.053096491487839,5.009326287108706e-13,4.9828690009594596e-14,5.026548245744079,4.0945025148175773e-13,8.14575393419259e-14,17.303919015950868,1.0073000566990231e-07,5.8212250163341455e-09,17.303919015950868,1.0073000211718863e-07,5.821224811021481e-09,2.7187018807641177e-16,0.0,1.1381166927749112e-13,1.4435194820684021e-16,1.4496583882438589e-16,1.063425815595284e-23,3.4579317387497236e-10
180,0.18,25.13274122871988,1.531219595563016e-12,6.092529189825608e-14,-10.053096491487901,5.631051180898794e-13,5.6013101890218036e-14,5.026548245744135,4.654054919228656e-13,9.258948072704809e-14,17.303919040432163,1.2521130088316568e-07,7.236008299427833e-09,17.30391904043217,1.2521130443587936e-07,7.236008504740495e-09,4.0924050732547525e-16,0.0,4.602649920770331e-13,1.3293205174833186e-16,1.2240558848480166e-16,2.4076494732023486e-23,3.5459683150556616e-10
